category,section,key,ui_label,visibility,value_type,risk,apply_class,default_class,reset_policy,help_level,dependency_count,validator_ids,description_source,current_description,validation_text,dependency_text
Betriebsart & manuelle Steuerung,Betriebsart,MANUAL_MODE,Manueller Betriebsmodus,standard,enum,Hoch,live_next_cycle,safe_sentinel,default,RICH,6,VAL-002|VAL-003,CONFIG_SCHEMA.description,"Automatik überlässt die Leistung der normalen Netz-/PV-Regelung. Stop/Hold setzt Lade- und Entladeleistung auf 0 W und hält diesen Zustand, bis hier wieder ein anderer Modus gespeichert wird. Feste Entladung oder Beladung übersteuern die Automatik bis zum eingestellten Ziel-SOC.",AUTO | STOP_HOLD | FIXED_DISCHARGE | FIXED_CHARGE; feste Modi nur bei frischem SOC und plausiblen Zielparametern aktivierbar,MANUAL_FIXED_DISCHARGE_POWER_W; MANUAL_FIXED_DISCHARGE_TARGET_SOC; MANUAL_DISCHARGE_AFTER_TARGET; MANUAL_FIXED_CHARGE_POWER_W; MANUAL_FIXED_CHARGE_TARGET_SOC; MANUAL_CHARGE_AFTER_TARGET
Betriebsart & manuelle Steuerung,Profil Feste Entladung,MANUAL_DISCHARGE_AFTER_TARGET,Nach Entlade-Ziel,standard,enum,Hoch,live_next_cycle,profile_preset,profile,RICH,2,,CONFIG_SCHEMA.description,"Legt fest, was passiert, sobald der Ziel-SOC der festen Entladung erreicht ist. Automatik aktiviert wieder die normale Regelung; Stop/Hold setzt beide Leistungen auf 0 W und bleibt dort.",AUTO | STOP_HOLD,MANUAL_MODE; MANUAL_FIXED_DISCHARGE_TARGET_SOC
Betriebsart & manuelle Steuerung,Profil Feste Entladung,MANUAL_FIXED_DISCHARGE_POWER_W,Feste Entladeleistung,standard,int,Hoch,live_next_cycle,safe_sentinel,default,RICH,2,VAL-002,CONFIG_SCHEMA.description,Leistung für den manuellen Modus Feste Entladung. Der Controller begrenzt diesen Wert zusätzlich auf die konfigurierte maximale Entladeleistung.,0–2400 W speicherbar; Start von FIXED_DISCHARGE nur mit Wert > 0; Anforderung ≤ MAX_DISCHARGE_POWER_W; wirksames Ziel zusätzlich durch inverseMaxPower begrenzt,MANUAL_MODE; MAX_DISCHARGE_POWER_W; inverseMaxPower (read-only)
Betriebsart & manuelle Steuerung,Profil Feste Entladung,MANUAL_FIXED_DISCHARGE_TARGET_SOC,Entladen bis Zendure SOC,standard,int,Hoch,live_next_cycle,profile_preset,profile,RICH,3,VAL-002,CONFIG_SCHEMA.description,"Ziel-SOC für die feste Entladung. Zur Laufzeit wird dieser Wert mindestens auf den konfigurierten Min Zendure SOC angehoben, damit die allgemeine Akku-Schutzgrenze nicht unterschritten wird.",MIN_SOC_PERCENT ≤ Ziel-SOC ≤ 100; Start nur bei frischem aktuellem SOC und Ziel-SOC < aktuellem SOC,MANUAL_MODE; MIN_SOC_PERCENT; ZENDURE_BATTERY_CAPACITY_WH
Betriebsart & manuelle Steuerung,Profil Feste Ladung,MANUAL_CHARGE_AFTER_TARGET,Nach Lade-Ziel,standard,enum,Hoch,live_next_cycle,profile_preset,profile,RICH,2,,CONFIG_SCHEMA.description,"Legt fest, was passiert, sobald der Ziel-SOC der festen Beladung erreicht ist. Automatik aktiviert wieder die normale Regelung; Stop/Hold setzt beide Leistungen auf 0 W und bleibt dort.",AUTO | STOP_HOLD,MANUAL_MODE; MANUAL_FIXED_CHARGE_TARGET_SOC
Betriebsart & manuelle Steuerung,Profil Feste Ladung,MANUAL_FIXED_CHARGE_POWER_W,Feste Ladeleistung,standard,int,Hoch,live_next_cycle,safe_sentinel,default,RICH,2,VAL-003,CONFIG_SCHEMA.description,Leistung für den manuellen Modus Feste Beladung. Der Controller begrenzt diesen Wert zusätzlich auf die konfigurierte maximale Ladeleistung.,0–2400 W speicherbar; Start von FIXED_CHARGE nur mit Wert > 0; Anforderung ≤ MAX_CHARGE_POWER_W; wirksames Ziel zusätzlich durch chargeMaxLimit begrenzt,MANUAL_MODE; MAX_CHARGE_POWER_W; chargeMaxLimit (read-only)
Betriebsart & manuelle Steuerung,Profil Feste Ladung,MANUAL_FIXED_CHARGE_TARGET_SOC,Laden bis Zendure SOC,standard,int,Hoch,live_next_cycle,profile_preset,profile,RICH,3,VAL-003,CONFIG_SCHEMA.description,"Ziel-SOC für die feste Beladung. Zur Laufzeit wird dieser Wert höchstens auf den konfigurierten Max Zendure SOC abgesenkt, damit die allgemeine obere Akku-Grenze eingehalten wird.",0 ≤ Ziel-SOC ≤ MAX_SOC_PERCENT; Start nur bei frischem aktuellem SOC und Ziel-SOC > aktuellem SOC,MANUAL_MODE; MAX_SOC_PERCENT; ZENDURE_BATTERY_CAPACITY_WH
Zendure-Geräte,Batteriekapazität,ZENDURE_BATTERY_CAPACITY_WH,Zendure Batteriekapazität für Prognose,standard,optional_int,Mittel,live_next_cycle,installation,none,BASE,5,,CONFIG_SCHEMA.description,"Gesamtkapazität der Zendure-Batterien in Wh für die Nachtmodus-Prognose. Leer = Prognose nicht berechenbar. Beispiel: 5280 Wh bei 2,4 kWh Headunit plus 2,88 kWh Erweiterung.",Leer oder 100–50.000 Wh; Konflikt mit KWH-Kompatibilitätsalias blockiert Speichern,ZENDURE_BATTERY_CAPACITY_KWH; MAX_SOC_PERCENT; MANUAL_FIXED_CHARGE_TARGET_SOC; MANUAL_FIXED_DISCHARGE_TARGET_SOC; NIGHT_DISCHARGE_STOP_SOC_PERCENT
Zendure-Geräte,Gerätezuordnung,DEVICE_ID,Zendure Device ID,protected_expert,string,Hoch,restart_required,installation,none,BASE,4,VAL-017,CONFIG_SCHEMA.description,Identifier der Zendure Headunit für die MQTT-Topics.,"Nicht leer; keine MQTT-Trennzeichen oder Wildcards '/', '+', '#'; Groß-/Kleinschreibung unverändert erhalten",MQTT_BROKER; MQTT_PORT; ZENDURE_LOCAL_API_ENABLED; ZENDURE_LOCAL_IP
Leistungsgrenzen & SOC-Schutz,Leistungsgrenzen,MAX_CHARGE_POWER_W,Max Ladeleistung,standard,int,Hoch,live_next_cycle,installation,none,RICH,2,,CONFIG_SCHEMA.description,"Maximale Leistung, mit der Zendure bei PV-Überschuss geladen werden darf.",1–2400 W; MANUAL_FIXED_CHARGE_POWER_W und andere feste Ladeziele dürfen den Wert nicht überschreiten,MANUAL_FIXED_CHARGE_POWER_W; chargeMaxLimit (read-only); ZENDURE_BATTERY_CAPACITY_WH
